Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
Braintree,braintreepayments.com,"Braintree is a payment platform for online and mobile businesses, offering all the tools merchants need to accept payments and provide consumers a frictionless experience at checkout. Braintree provides merchants with a secure payment gateway, merchant account, recurring billing and credit card storage, as well as industry-leading customer service and an easy-to-integrate API. Braintree operates internationally, and allows merchants in North America and Europe to accept payments in over 130 currencies.",United States,Product As A Service,15. Payments Processing,2007,Emerging,"70,020,000",Series B
Segovia Technology,thesegovia.com,"Segovia Technology offers a platform that manages the complicated logistics of distribution and payments in emerging markets, addressing unique technical problems such as limited connectivity.",United States,Product As A Service,15. Payments Processing,2014,Nascent,"15,000,000",Series A
Interchecks Technologies,interchecks.com,"Interchecks Technologies is a platform that simplifies payments for businesses while increasing the variety of payment options for payees. It helps payees choose how they want to be paid, manage payment compliance, and track those payments. Interchecks is used to manage contractor payments, vendor payables, and general payouts.",United States,Product As A Service,15. Payments Processing,2016,Nascent,"1,000,000",Seed
Zeta,zeta.in,"Zeta is a fintech company dealing with digitized employee benefits, rewards, and digital payments. Zeta's cloud-based smart benefits suite called Zeta Tax Benefits aims to digitize all forms of tax-saving reimbursements for employees, such as mobile reimbursements, fuel reimbursements, gadget reimbursements, gift card and LTA.",India,Product As A Service,6. Other As A Service,2015,Emerging,"23,000,000",Series C
TransFirst,transfirst.com,"TransFirst is a provider of secure transaction processing services and payment enabling technologies. The company offers innovative products and services designed with financial institution, independent sales organization, healthcare, e-commerce, government and merchant customers' unique needs in mind. By collaborating with its customers and utilizing strong industry knowledge, we can help them grow their businesses.",United States,Product As A Service,15. Payments Processing,1995,Nascent,,Undisclosed
Nuvei,nuvei.com,"Nuvei (TSX: NVEI.U) provides fully-supported omnichannel payments to large-scale merchants, SMBs and distribution partners, powered by their broad suite of proprietary technologies. The firm equips ISOs, ISVs, payment facilitators, developers, and eCommerce platforms with the technology, expertise and customer service they need to stand out.",Canada,Product As A Service,15. Payments Processing,2003,Mature,"315,470,000",Series E
Due,due.com,"Due is an online payments platform that makes it easy to accept and make payments, create professional looking invoices and effortlessly track time. Due offers a range of payment options, including eCash, eChecks and ACH, and domestic and international credit card process, as well as a digital wallet to store payment information and funds.",United States,Product As A Service,15. Payments Processing,2015,Nascent,,Undisclosed
BlueOcean Pay,blueoceanpay.com,BlueOcean Pay is a WeChat ecosystem solution provider for brands & merchants to acquire and engage Chinese customers.,Hong Kong,Product As A Service,15. Payments Processing,2017,Nascent,"1,600,000",Seed
Tamara,tamara.co,Tamara provides a buy now pay later solution for customers to pay with no fees with the ability to defer payments up to 30 days or pay in 3 installments.,Saudi Arabia,Product As A Service,6. Other As A Service,2020,Nascent,"6,000,000",Seed
dLocal,dlocal.com,"dLocal is a 360 payments platform designed to handle mass online payments in Latin America and other emerging markets across APAC and MENA. With dLocal, there is no need to manage separate pay-in and pay-out processors, set up numerous local entities, integrate dozens of isolated acquirers and payment methods, worry about stranded funds overseas, nor undergo heavy operational burdens.",Uruguay,Product As A Service,15. Payments Processing,2016,Mature,"200,000,000",Series D
Earnin,earnin.com,"Earnin sells a service that lets customers get paid for the hours they work, without charging any interest on the payments that clients receive. Users simply take a picture of their time sheet and specify how much money they would like to get paid from their earnings up to that point in the pay cycle.",United States,Product As A Service,6. Other As A Service,2012,Mature,"196,200,000",Series D
Branch,branchapp.com,"Branch is a challenger bank that partners with employers to help working Americans grow financially. Employers turn to Branch not only to help them attract and retain workers but also to reduce the costs of paper checks and paycards by offering Branch as a free financial wellness benefit and banking alternative. Employees that sign up with Branch can receive a zero-fee bank account, free instant access to earned wages, and budgeting tools to help them manage their cash flow between paychecks.",United States,Product As A Service,6. Other As A Service,2014,Nascent,"10,410,000",Series A
DailyPay,dailypay.com,"DailyPay provides employees with real-time access to earned wages across a wide range of industries, including cleaning, healthcare, retail, transportation, and more. With DailyPay, employees can pay bills on time and avoid late fees, helping them reach their financial goals.",United States,Product As A Service,6. Other As A Service,2015,Emerging,"17,500,000",Series B
CoinGate,coingate.com,"CoinGate is a Lithuanian-based fintech company. It offers several methods to set up cryptocurrency payments for any website or physical store include payment buttons, web PoS applications, API integration, and official plugins for the biggest e-commerce platforms. It provides a platform for buying and selling numerous crypto-assets with a single payment. It is based in Vilnius, Lithuania.",Lithuania,Transaction Infrastructure,11. Crypto As A Service,2014,Nascent,,Undisclosed
ShapeShift,shapeshift.io,"ShapeShift is an instant exchange for Litecoin, Bitcoin, Peercoin, Dogecoin, Darkcoin, Namecoin, Feathercoin, Blackcoin and other cryptocoins.",Switzerland,Transaction Infrastructure,11. Crypto As A Service,2014,Nascent,"12,790,000",Series A
Kaleido,kaleido.io,"Kaleido, a ConsenSys business, is an all-in-one enterprise SaaS platform that simplifies deployment and operation of secure private chains.",United States,Transaction Infrastructure,11. Crypto As A Service,2017,Nascent,"680,000",Seed
